service_date,mode,route_or_line,total_monthly_ridership,countofdates,average_monthly_ridership
2019-05-01T04:00:00.000Z,Ferry,Boat-F4,48034,22,2183.4
2019-05-01T04:00:00.000Z,Rail,Blue Line,1631294,22,74149.7
2019-05-01T04:00:00.000Z,Rail,Green Line,3624765,22,164762.1
2019-05-01T04:00:00.000Z,Rail,Orange Line,4562221,22,207373.7
2019-05-01T04:00:00.000Z,Rail,Red Line,5422544,22,246479.3
2019-05-01T04:00:00.000Z,The RIDE,The RIDE,136602,22,6209.2
2019-06-01T04:00:00.000Z,Bus,Bus,6970275,20,348513.8
2019-06-01T04:00:00.000Z,Bus,Silver Line,765614,20,38280.7
2019-06-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2550890,21,121471
2019-06-01T04:00:00.000Z,Ferry,Boat-F1,82854,20,4142.7
2019-06-01T04:00:00.000Z,Ferry,Boat-F4,58768,20,2938.5
2019-06-01T04:00:00.000Z,Rail,Blue Line,1541358,20,77067.9
2019-06-01T04:00:00.000Z,Rail,Green Line,3305499,20,165275
2019-06-01T04:00:00.000Z,Rail,Orange Line,4166742,20,208337.1
2019-06-01T04:00:00.000Z,Rail,Red Line,4757240,20,237862
2019-06-01T04:00:00.000Z,The RIDE,The RIDE,121447,20,6072.4
2019-07-01T04:00:00.000Z,Bus,Bus,7440844,22,338220.2
2019-07-01T04:00:00.000Z,Bus,Silver Line,825192,22,37508.7
2019-07-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2620848,22,119129.5
2019-07-01T04:00:00.000Z,Ferry,Boat-F1,92145,22,4188.4
2019-07-01T04:00:00.000Z,Ferry,Boat-F4,77870,22,3539.5
2019-07-01T04:00:00.000Z,Rail,Blue Line,1651051,22,75047.8
2019-07-01T04:00:00.000Z,Rail,Green Line,3437565,22,156253
2019-07-01T04:00:00.000Z,Rail,Orange Line,4352778,22,197853.6
2019-07-01T04:00:00.000Z,Rail,Red Line,5021199,22,228236.3
2019-07-01T04:00:00.000Z,The RIDE,The RIDE,127159,22,5780
2019-08-01T04:00:00.000Z,Bus,Bus,7338690,22,333576.8
2019-08-01T04:00:00.000Z,Bus,Silver Line,823813,22,37446.1
2019-08-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2646170,22,120280.5
2019-08-01T04:00:00.000Z,Ferry,Boat-F1,89914,22,4087
2019-08-01T04:00:00.000Z,Ferry,Boat-F4,79491,22,3613.2
2019-08-01T04:00:00.000Z,Rail,Blue Line,1616173,22,73462.4
2019-08-01T04:00:00.000Z,Rail,Green Line,3232914,22,146950.6
2019-08-01T04:00:00.000Z,Rail,Orange Line,4239128,22,192687.6
2019-08-01T04:00:00.000Z,Rail,Red Line,4880100,22,221822.7
2019-08-01T04:00:00.000Z,The RIDE,The RIDE,126310,22,5741.4
2019-09-01T04:00:00.000Z,Bus,Bus,7479428,20,373971.4
2019-09-01T04:00:00.000Z,Bus,Silver Line,738886,20,36944.3
2019-09-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2416473,20,120823.7
2019-09-01T04:00:00.000Z,Ferry,Boat-F1,83662,20,4183.1
2019-09-01T04:00:00.000Z,Ferry,Boat-F4,51609,20,2580.5
2019-09-01T04:00:00.000Z,Rail,Blue Line,1528456,20,76422.8
2019-09-01T04:00:00.000Z,Rail,Green Line,3179038,20,158951.9
2019-09-01T04:00:00.000Z,Rail,Orange Line,4311143,20,215557.2
2019-09-01T04:00:00.000Z,Rail,Red Line,4915753,20,245787.7
2019-09-01T04:00:00.000Z,The RIDE,The RIDE,121197,20,6059.9
2019-10-01T00:00:00.000Z,Bus,Bus,8357878,22,379903.5
2019-10-01T00:00:00.000Z,Bus,Silver Line,838063,22,38093.8
2019-10-01T00:00:00.000Z,Commuter Rail,Commuter Rail,2792281,23,121403.5
2019-10-01T00:00:00.000Z,Ferry,Boat-F1,87597,23,3808.6
2019-10-01T00:00:00.000Z,Ferry,Boat-F4,48425,23,2105.5
2019-10-01T00:00:00.000Z,Rail,Blue Line,1588641,23,69071.4
2019-10-01T00:00:00.000Z,Rail,Green Line,3601913,23,156604.9
2019-10-01T00:00:00.000Z,Rail,Orange Line,4775264,23,207620.2
2019-10-01T00:00:00.000Z,Rail,Red Line,5620037,23,244349.4
2019-10-01T00:00:00.000Z,The RIDE,The RIDE,138048,23,6002.1
