date,value,mode
2019-09-01T04:00:00.000Z,738886,Bus (Silver Line)
2019-09-01T04:00:00.000Z,121197,The RIDE
2019-09-01T04:00:00.000Z,4915753,Rail (Red)
2019-09-01T04:00:00.000Z,3179038,Rail (Green)
2019-09-01T04:00:00.000Z,1528456,Rail (Blue)
2019-09-01T04:00:00.000Z,4311143,Rail (Orange)
2019-09-01T04:00:00.000Z,83662,Ferry (Boat-F1)
2019-10-01T00:00:00.000Z,2792281,Commuter Rail
2019-10-01T00:00:00.000Z,8357878,Bus (Bus)
2019-10-01T00:00:00.000Z,838063,Bus (Silver Line)
2019-10-01T00:00:00.000Z,138048,The RIDE
2019-10-01T00:00:00.000Z,5620037,Rail (Red)
2019-10-01T00:00:00.000Z,3601913,Rail (Green)
2019-10-01T00:00:00.000Z,1588641,Rail (Blue)
2019-10-01T00:00:00.000Z,4775264,Rail (Orange)
2019-10-01T00:00:00.000Z,87597,Ferry (Boat-F1)
